公司代码,年度,被购买方名称,股权取得时点,股权取得成本,股权取得比例,股权取得方式,购买日,购买日的确定依据,购买日至期末被购买方的收入,购买日至期末被购买方的净利润
600704,2015,特种电缆,2015.03.01,118600,100,股权收购,2015.03.01,办妥交接手续,92795202.02,4059533.44
600691,2015,山西阳煤化工工程有限公司,2015.6,611499.68,100,收购,2015.6,控制权转移,26581510.34,1293357.39
600690,2015,盛丰物流集团有限公司,2015.1,675144595,58.08,外购,2015.1.1,标的股权的相关权利义务均已转归本公司,1418342315.09,16178900.16
600686,2015,创程环保公司,2015.3.31,925891600,100,非同一控制下企业合并获得,2015.3.31,实际取得控制权,N/A,6608254.09
600679,2015,江苏华久辐条制造有限公司,2015.12.9,530000000,100,定向增发,2015.12.31,实际取得控制权,N/A,N/A
600652,2014,游久时代,2014.11.4,118000,100,现金,2014.11.4,实际控制权,73956768.41,31986372.95
600642,2015,国电电力吴忠热电有限责任公司 ,2015.12.22,303632730,95,购买,2015.12.22,实际取得控制权,N/A,N/A
600637,2015,艾德思奇,2015.1.1,589621199.62,51,现金收购,2015.1.1,实际取得控制权,"278,737.55万",2366500
600633,2015,爱阅读（北京）科技股份有限公司,2015.6,95495738.25,70,非同一控制下企业合并获得,2015.6,实际取得控制权,15478372.53,871160.09
600633,2015,浙江《江南游报》社有限责任公司,2015.6,3570000,51,非同一控制下企业合并获得,2015.6,实际取得控制权,4407695.67,141183.83
600629,2015,华东建筑研究生院,2015.7.1,N/A,100,股份,2015.7.1,N/A,N/A,N/A
600619,2015,杭州富生,2015.8.12,1120000000,100,以子公司部分股权购,2015.8.12,控制权转移,561767253.72,44996249.17
600619,2015,安徽海立,2015.1.1,82478245.73,56.38,以子公司部分股权购,2015.1.1,控制权转移,345909969.17,22109439.16
600616,2015,无锡市振太酒业有限公司,2015.5,300000000,100,现金购买,2015.5.31,实际取得控制权,94381112.03,12513448.73
600614,2015,洛阳鹏起实业有限公司,2015.12.1,1352000000,100,购买,2015.12.1,实际取得控制权,18092984.67,4443303.15
600613,2015,广东神奇医药有限公司,2015.6,9000000,30,并购,2015.6,公司控制权转移,49296750.48,-560141.84
600606,2015,济南新绿东城置业有限公司,2015.7.1,25500000,51,货币增资,2015.7.1,支付投资款且工商变更,N/A,-797971.45
600606,2015,中国润东汽汽车集团有限公司,2015.8.31,1310586566.4,33.6,认购普通股及可换股优先股,2015.8.31,实际取得控制权,5229658989.7,64073568.91
600606,2015,上海云利置业有限公司,2015.11.1,415182998.46,100,货币收购原股东股权,2015.11.1,支付投资款且工商变更,N/A,273045.54
600606,2015,贵州建工集团有限公司,2015.7.1,1209400000,70,货币增资,2015.7.1,支付投资款且工商变更,14261777318.11,262676948.7
600606,2015,北京京西景荣置业有限,2015.11.1,3801000000,95,货币增资,2015.11.1,支付投资款且工商变更,-2072151.2,-14543480.21
600596,2015,星按安美国公司,2015.2,0,100,股权受让,2015.2,签订股权转让协议和财产移交,77856295.15,-12297131.96
600584,2015,星科金朋,2015.8.5,4559610976.05,100,购买,2015.8.5,实际取得控制权,3231371997.77,-333785725.35
600580,2015,OLI,2015.12.15,406192374.2,80,支付现金,2015.12.15,实际取得控制权,14202243.57,7289718.2
600580,2015,SIR,2015.3.10,126294559.98,89,支付现金,2015.3.10,实际取得控制权,190309637.91,6369336.83
600580,2015,南阳防爆及下属子公司,2015.3.20,1680000000,60,支付现金,2015.3.20,实际取得控制权,1486284381.67,101859153.58
600567,2015,合肥华东包装有限公司,2015.8.31,85610000,100,股权受让,2015.8.31,实际取得控制权,98725650.27,N/A
600567,2015,四川天印务有限公司,2015.1.31,40000000,60,股权受让,2015.1.31,实际取得控制权,100754839.27,N/A
600565,2015,西藏聚兴投资有限公司,2015.12.21,76525800,100,支付现金,2015.12.21,实际取得控制权,N/A,N/A
600565,2015,上海威斯莱克酒店公寓有限公司,2015.10.29,84000000,70,支付现金,2015.10.29,实际取得控制权,56154.61,-530801.38
600565,2015,上海贵行投资管理有限公司,2015.5.6,10000000,100,支付现金,2015.5.6,实际取得控制权,N/A,-5498927.46
600565,2015,武汉虹丽置业管理有限公司,2015.1.5,10000000,100,支付现金,2015.1.5,实际取得控制权,N/A,-3542105.66
600549,2015,廊坊市百斯图工具制造有限公司,2015.5,7921000,80,收购,2015.5,实际取得控制权,7645399.67,-383651.07
600525,2015,珠海运泰利,2015.7.23,1720000000,100,支付现金及发行股份,2015.7.31,实际取得控制权,531511146.98,119448698.1
600523,2015,三井华阳汽车配件有限公司,2015.5.31,30708627.73,85,支付现金,2015.5.31,实际取得控制权,48661246.05,1890073.27
600522,2015,江苏中天科技 电缆附件有限公司,2015.10.28,16800000,60,购买,2015.10.28,实际取得控制权,2708860.24,-1005907.65
600518,2015,上海康峰药业有限 公司,2015.1.9,21987238.87,100,购买,2015.1.9,实际取得控制权,51647251.49,1102140.55
600518,2015,深圳市麦金利实业有限公司、威海麦金利生物工程有限公司 ,2015.5.20,72842541.64,74,购买,2015.5.20,实际取得控制权,50986701.47,-1743933.94
600518,2015,康美大药房连锁有限公司,2015.2.13,2150000,100,购买,2015.2.13,实际取得控制权,8625716.5,-3853089.65
600513,2015,南京帝易医药科技有限公司,2015.9,3713170.8,88,购买,2015.9.6,实际取得控制权,396504.85,-73084.43
600509,2015,奎屯非创精细燃气有限公司,2015.7,3125000,51,增资,2015.7,款项已支付,N/A,-32127.62
600509,2015,博乐市天诚能源有限责任公司,2015.9,16990000,100,拍卖,2015.10.1,拍卖手续已完成,6243436.71,149389.43
600503,2015,苏州黄金水街房地产开发有限公司,2015.1.22,160000000,100,非同一控制下企业合并获得,2015.1.22,完成工商变更登记,N/A,-64799.01
600503,2015,杭州南江机器人股份有限公司,2015.3.31,31000000,50.82,非同一控制下企业合并获得,2015.3.31,完成工商变更登记,7928976.06,1282103.58
600499,2015,漳州巨铭石墨有限公司,2015.11.25,22800000,100,现金,2015.11.25,完成工商变更登记,316.1600.00,-617800
600499,2015,江苏科行环保科技有限公司 ,2015.9.23,180000000,72,现金,2015.9.23,完成工商变更登记,"21,099.3400.00",32653500
600485,2015,乌克兰信威,2015.5.5,10000000,100,购买,2015.5.5,取得被购买方的控制权,333100,-708.1400.00
600485,2015,格里夫纳,2015.6.19,N/A,99.6,认缴出资,2015.6.30,取得被购买方的控制权,N/A,-317.150.00
600485,2015,中创腾锐,2015.10.27,9000000,30,购买,2015.10.31,取得被购买方的控制权,4638400,-117.2900.00
600485,2015,信威亚辰,2015.5.25,800000,100,购买,2015.5.25,取得被购买方的控制权,N/A,-0.6100.00
600481,2015,浙江商达环保有限公司,2015.8,216620000,64.2857,支付现金,2015.8,"股权转让,办理股权变更手续",112016200,"2,348.6500.00"
600462,2015,深圳博立信科技有限公司,2015.9.30,9310,70,非同一控制下企业合并获得,2015.9.30,办理股权变更手续,42712827.15,2952036.65
600401,2015,秦皇岛隔河头,2015.7.10,200000,100,购买,2015.7.10,N/A,N/A,N/A
600401,2015,FORSHINE(HONGKONG)LIMITED ,2015.12.15,7121.3,100,购买,2015.12.15,已办理财产权交接手续,N/A,N/A
600401,2015,邵武顺风,2015.6.17,950000,95,购买,2015.6.17,已办理财产权交接手续,N/A,-715.94
600401,2015,泰安顺风,2015.6.17,1000000,100,购买,2015.6.17,已办理财产权交接手续,N/A,-254.68
600401,2015,沙河顺海,2015.6.17,1000000,100,购买,2015.6.17,已办理财产权交接手续,N/A,-173.71
600383,2015,重庆聚泽物业管理有限公司,2015.11.29,1000000,51,收购股权,2015.12.29,为实际取得被购买方日期,N/A,N/A
600383,2015,深圳市安承电梯有限公司,2015.12.29,1680000,100,收购股权,2015.12.29,为实际取得被购买方日期,N/A,N/A
600383,2015,北京瑞达鑫远科技有限公司,2015.6.20,10000000,100,收购股权,2015.6.20,为实际取得被购买方日期,N/A,903002.78
600383,2015,南京金郡房地产开发有限公司,2015.11.25,497302749.39,55,增资后表决权发生变更,2015.11.25,为实际取得被购买方日期,1901848570,118438556.31
600383,2015,重庆晓月物业管理有限公司,2015.9.17,3825000,51,收购股权,2015.9.17,为实际取得被购买方日期,11076841.38,1803260.32
600383,2015,大连汇载置业有限公司,2015.5.18,10000000,100,收购股权,2015.5.18,为实际取得被购买方日期,N/A,1735902.37
600376,2015,苏州合本,2015.11.27,50000000,50,现金收购,2015.11.27,N/A,N/A,41070.51
600376,2015,湖品房地产,2015.6.24,107470443.74,50,现金收购,2015.6.30,N/A,N/A,17081456.35
600376,2015,君梁房地产,2015.6.24,88481895.7,50,现金收购,2015.6.30,N/A,N/A,162950.02
600376,2015,中庚投资,2015.10.19,10000000,100,现金收购,2015.10.19,N/A,N/A,102786.36
600365,2015,吉林省鑫之诚商贸 有限公司,2015.6.15,21250000,100,现金购买,2015.6.15,完成合同签订，产权交割,N/A,-757696.34
600365,2015,北京九润源电子商务有限公司,2015.3.11,66690000,51,现金购买,2015.3.11,完成合同签订，产权交割,348836131.43,25237303.78
600359,2015,阿拉尔市鑫龙化纤有限责任公司,2015.5.30,363565700,98,收购,2015.5.30,取得被购买方的控制权,N/A,N/A
600348,2015,鲁西燃料公司,2015.2,14322960,60,现金购买,2015.1.19,取得被购买方的控制权,114839762.22,-7385302.46
600313,2015,中农发河南农化有限公司,2015.10.31,379286996.73,67,收购,2015.10.31,工商变更登记已办理,158528391.26,20567409.38
600295,2015,青海华晟,2015.1,108229232.98,50,购买,2015.1,取得被购买方的控制权,78919360.81,-17178766.79
600288,2015,北京大恒普信医疗技术有限公司,2015.4,12500000,98.6,现金,2015.04,合同,1244497.69,-9488056.9
600288,2015,北京中科大洋信息技术有限公司,2015.8,34894200,100,现金,2015.08,登记变更完成,10711645.76,-2345418.17
600288,2015,南京厚软件有限公司,2015.7,56100000,51,现金,2015.07,登记变更完成,26346007.06,14979423.83
600277,2015,工业制粉,2015.8.31,30000000,60,非同一控制下企业合并获得,2015.08.31,签订转让协议、支付股权款、增资及工商变更完成,29449800,5687100
600277,2015,洁能莱芜,2015.10.31,10000000,100,非同一控制下企业合并获得,2015.10.31,签订转让协议、支付股权款、增资及工商变更完成,661700,-31.9100.00
600277,2015,节能宿迁,2015.1.31,177000000,60,非同一控制下企业合并获得,2015.01.31,签订转让协议、支付股权款、增资及工商变更完成,115112100,14391600
600256,2015,大方县万方天然气有限公司,2015.2.11,6100000,85,货币出资,2015.02.11,工商变更,1219633.06,-984989.68
600256,2015,Asia Africa Energy Pte.ltd,2015.3.9,23707911.3,100,货币出资,2015.03.09,工商变更,N/A,-705159.17
600256,2015,赫章县万方天然气有限公司,2015.2.11,600000,85,货币出资,2015.02.11,工商变更,379199.57,-693649.69
600256,2015,陕西秦北开源清洁能源有限公司,2015.2.13,10000000,100,货币出资,2015.02.13,工商变更,4039516.79,-623222.64
600256,2015,青岛西能天然气利用有限公司,2015.9.30,150000000,60,货币出资,2015.09.30,工商变更,31680129.8,-4719161.25
600256,2015,塔城市天瑞能源有限责任公司,2015.9.30,5730000,100,货币出资,2015.09.30,工商变更,4189182.77,396336.95
600256,2015,呼和浩特市北辰伟业燃气有限公司,2015.4.13,3000000,100,货币出资,2015.04.13,工商变更,N/A,-15793.91
600256,2015,毕节万方天然气有限公司,2015.2.11,200000,85,货币出资,2015.02.11,工商变更,N/A,-541943.11
600255,2015,西安梦舟,2015.6.5,930000000,100,支付现金,2015.6.5,完成股权变更手续,394605497.48,154889262.29
600251,2015,浙江信维信息科技有限公司,2015.9.17,60600000,54.55,增资,2015.12.28,签订转让协议、支付股权款、增资及工商变更完成,N/A,N/A
600247,2015,上海君和物资供应有限公司,2015.4.16,4300000,100,股权转让,2015.4.16,股权款支付时间,985488333.66,1953427.97
600241,2015,辽宁九夷能源科技有限公司,2015.8.31,350000000,100,购买资产,2015.8.31,已实质控制,75370354.82,2567219.74
600240,2015,重庆捷尔医疗设备有限公司,2015.6.18,2150000000,100,购买,2015.6.18,取得被购买方的控制权,179759571.25,98674189.01
600240,2015,新疆西准矿业有限公司  ,2015.3.27,2000000,100,购买,2015.3.27,取得被购买方的控制权,N/A,-8947
600240,2015,新疆稳发商贸有限责任公司 ,2015.3.27,1000000,100,购买,2015.3.27,取得被购买方的控制权,N/A,-7275.29
600240,2015,北京康业体育运动有限责任公司,2015.5.12,57947.35,100,购买,2015.5.12,取得被购买方的控制权,833111.98,-162264.81
600210,2015,上海利士包装有限公司,2015.10.31,558000000,55,非同一控制下企业合并获得,2015.10.31,实施控制,10262686.06,4377407.04
600201,2015,黄山市金禹伟业大酒店有限公司,2015.7.7,4500000,30,股权转让,2015.7.7,工商变更日期,N/A,-157991.28
600167,2015,上海澜盛实业发展有限公司,2015.1.9,90000000,100,购买,2015.1.9,工商变更,N/A,-2395948.54
600165,2015,博雅干细胞,2015.12.17,1565600000,80,收购,2015.12.17,工商变更,N/A,N/A
600157,2015,华兴电力股份公司,2015.5.1,151500,63.125,购买,2015.5.1,交接日,5045801776.46,N/A
600157,2015,山东泰达能源有限公司,2015.3.10,50000000,100,购买,2015.03.10,交接日,N/A,42175.75
600157,2015,贵州新晋泰能源有限公司,2015-10-1,50000000,100,购买,2015.10.01,交接日,N/A,2456.66
600157,2015,华瀛石油化工有限公司,2015.3.21,400000,100,购买,2015.3.21,交接日,N/A,12787494.46
600143,2015,广州萝岗金发小额贷款股份有限公司,2015.12.31,124531650,59.25,股权转让,2015.12.31,支付投资款,N/A,N/A
600143,2015,上海金玺实验室有限公司,2015.5.31,14000000,70,股权转让,2015.5.31,支付投资款及完成工商登记变更,5938825.36,4186984.88
600113,2015,遵义市裕丰矿业有限责任公司,2015.10.1,66000000,100,购买,2015.10.1,贵州省国土资源厅《关于遵义市红花岗区双龙桥镍钼矿申请采矿权转让的审核意见》,0,-67498.84
600112,2015,遵义市恒生矿产投资有限责任公司,2015.8.1,65000000,100,购买,2015.8.1,采矿许可证,0,-1227289.24
600108,2015,甘肃大有农业科技有限责任公司,2015.3.31,29499112,69.23,现金收购,2015-03-31,资产与负债所有权的风险与报酬已完全转移,33252411.38,-1522401.86
600094,2015,深圳滇中商业保理有限公司,2015.8.4,156000,91.76,非同一控制下企业合并获得,2015年8月4日,控制权取取得日期,13537.41,7510.37
600093,2015,云南滇中供应链管理有限公司,2015.7.28,295000,89.39,非同一控制下企业合并获得,2015年7月28日,控制权取取得日期,445816.75,10802.98
600074,2014,常州中翎新材料科技有限公司,2014.3.31,5500000,55,受让股权,2014.3.31,支付对价款,N/A,N/A
300618,2014,宁波金唐软件有限公司,2014.12.11,500000000,100,现金购买,2014.12.31,取得控制权,N/A,N/A
300618,2014,上海复高计算机科技有限公司,2014.11.21,650000000,100,现金购买,2014.11.30,取得控制权,46173731.33,17128206.44
300473,2015,长春一汽富晟德尔汽车部件有限公司 ,2013.6.17,2058600,15,协议受让,2013.6.17,工商登记变更日,N/A,N/A
300473,2015,长春一汽富晟德尔汽车部件有限公司 ,2014.5.5,17755100,51,追加投资形成非同一控制下企业合并,2014.5.5,工商登记变更日,24183399.93,-3394382.46
300471,2015,成都科瑞尔低温设备有限公司,2015.11.1,23910000,100,受让股权,2015.11.1,取得控制权,7787240.4,719972.1
300459,2015,湖州吉昌公司,2015.7.31,144000000,60,收购,2015.7.31,支付股权转让款并取得控制,46095860.93,18464454.65
300457,2015,深圳市新浦自动化设备有限公司,2015.11.17,60000000,60,购买,2015.11.17,股权款支支付,3144444.43,-358704.21
300447,2015,上海赛治信息技术有限公司,2015.11.30,10114000,60.93,现金支付,2015.11.30,完成股东变更登记,1712014.25,292109.08
300440,2015,嘉兴运达,2015.10.31,1800000,60,现金购买股权,2015.10.31,取得控制权,N/A,-325663.84
300438,2015,耐可赛株式会社,2015.8.31,8451060.89,51.22,增资控股,2015.8.31,实际控制,3871918.17,-1156684.76
300437,2015,济源市清源商贸有限公司,2015.9.17,178000,100,购买,2015.9.17,股权已过户及全部款项支付,197991.54,-7412.59
300431,2015,卓智盛世（北京）科技有限公司,2015.12.30,200000,100,现金,2015.12.30,工商变更,N/A,N/A
300427,2015,浙江涵普电力科技有限公司,2015.11.7,54925589.52,51,现金增资购买,2015.11.7,控制权转移,36966672.06,10076503.43
300425,2015,江苏华大离心机制造有限公司,2015.10.29,382750000,100,购买,2015.10.31,"根据2015年6月30日公司2015年第二次临时股东大会决议，并经中国证券监督管理委员会《关于核准四川环能德美科技股份有限公司向吴志明等发行股份购买资产并募集配套资金的批复》（证监许可[2015]2288号）的核准，公司向吴志明、施耿明、吴忠燕等21名发行对象发行人民币普通股8,722,638股并支付现金对价191,375,000.00元购买江苏华大离心机制造有限公司100%股权；购买价款382,750,000.00元。2015年11月27日向交易对方支付完毕本次交易的现金对价（补偿保证金除外）。众华会计师事务所（特殊普通合伙）2015年10月29日出具了“众会字（2015）第5962号”验资报告对上述非公开发行股份进行了验证；中国证券登记结算有限责任公司深圳分公司2015年11月25日出具了《股份登记申请受理确认书》，对上述非公开发行股份进行了登记确认；2015年10月29日，江苏华大在张家港市市场监督管理局办理了变更登记备案。根据企业会计准则的有关规定，本次非同一控制下的企业合并日确定为2015年10月31日。",45242046.8,8202570.81
300424,2015,深圳云时空科技有限公司,2015.10.26,332400000,88.64,现金并发行股份,2015.12.31,控制权发生转移,N/A,N/A
300424,2015,北京微赢互动科技有限公司,2015.11.6,1008000000,100,现金并发行股份,2015.12.31,控制权发生转移,N/A,N/A
300424,2015,深圳云时空科技有限公司,2014.7.9,15000000,11.36,现金,2014.7.9,控制权发生转移,N/A,N/A
300424,2015,北京金源互动科技有限公司,2014.12.30,409200000,100,现金并发行股份,2015.1.1,控制权发生转移,801888312.18,54401484.44
300422,2015,苏州普丽盛食品科技有限公司,2015.12.31,63712400,100,非同一控制下企业合并,2015.12.31,董事会审议通过、双方签订股权转让协议、股权转让款全部支付、办理完资产交割及工商变更手续,N/A,N/A
300420,2015,伟创自动化,2015.11.30,550000000,100,受让,2015.11.30,完成工商变更登记,47083163.9,7616616.06
300419,2015,北京路安世纪文化发展有限公司,2015.12.11,743477371.26,100,发行股份,2015.12.11,取得被购买方实际控制权,18869416.59,13199646.31
300416,2015,青岛苏试海测检测技术有限公司,2015.7.28,5100000,51,增资,2015.7.28,增资合同约定,2776113.8,450403.03
300412,2015,北京莱米特科技有限公司,2015.12.18,30250000,55,现金,2015.12.31,实际控制,N/A,N/A
300409,2015,江西宏瑞新材料有限公司,2015.10.31,82000000,100,现金购买,2015.10.31,实现控制,7325455.12,-452426.95
300403,2014,深圳市同川科技有限公司,2014.4.30,2000000,60,购买,2014.4.30,实际取得控制权,5059401.88,-391581.58
300398,2015,惠州嘉裕新材料有限公司,2015.2.3,36203300,100,收购,2015.2.3,控制权的转移,4897076.64,-3953766.22
300397,2015,深圳华扬,2015.6.11,150000000,60,现金购买,2015.6.30,实际控制,55145853.09,8780586.33
300396,2015,宁波瑞源生物科技有限公司,2015.8.31,554625000,51,购买,2015.8.31,"宁波瑞源生物科技有限公司已办理工商变更登记且本公司已支付大部分收购款",69177798.28,23816202.51
300393,2015,通辽中来电力有限公司,2.15.7.9,0,100,非同一控制下企业合并,2015.7.9,控制权转移,N/A,N/A
